name	taxonomy_id	taxonomy_lvl	SRR9061428_S.bracken_num	SRR9061428_S.bracken_frac	SRR9061429_S.bracken_num	SRR9061429_S.bracken_frac	SRR9061430_S.bracken_num	SRR9061430_S.bracken_frac	SRR9061431_S.bracken_num	SRR9061431_S.bracken_frac	SRR9061432_S.bracken_num	SRR9061432_S.bracken_frac	SRR9061433_S.bracken_num	SRR9061433_S.bracken_frac	SRR9061434_S.bracken_num	SRR9061434_S.bracken_frac	SRR9061435_S.bracken_num	SRR9061435_S.bracken_frac	SRR9061436_S.bracken_num	SRR9061436_S.bracken_frac	SRR9061437_S.bracken_num	SRR9061437_S.bracken_frac	SRR9061438_S.bracken_num	SRR9061438_S.bracken_frac	SRR9061439_S.bracken_num	SRR9061439_S.bracken_frac	SRR9061440_S.bracken_num	SRR9061440_S.bracken_frac	SRR9061441_S.bracken_num	SRR9061441_S.bracken_frac	SRR9061442_S.bracken_num	SRR9061442_S.bracken_frac	SRR9061443_S.bracken_num	SRR9061443_S.bracken_frac	SRR9061444_S.bracken_num	SRR9061444_S.bracken_frac	SRR9061445_S.bracken_num	SRR9061445_S.bracken_frac	SRR9061446_S.bracken_num	SRR9061446_S.bracken_frac	SRR9061447_S.bracken_num	SRR9061447_S.bracken_frac	SRR9061448_S.bracken_num	SRR9061448_S.bracken_frac	SRR9061449_S.bracken_num	SRR9061449_S.bracken_frac	SRR9061450_S.bracken_num	SRR9061450_S.bracken_frac	SRR9061451_S.bracken_num	SRR9061451_S.bracken_frac	SRR9061452_S.bracken_num	SRR9061452_S.bracken_frac	SRR9061453_S.bracken_num	SRR9061453_S.bracken_frac	SRR9061454_S.bracken_num	SRR9061454_S.bracken_frac	SRR9061455_S.bracken_num	SRR9061455_S.bracken_frac	SRR9061456_S.bracken_num	SRR9061456_S.bracken_frac	SRR9061457_S.bracken_num	SRR9061457_S.bracken_frac
Bifidobacterium adolescentis	2579	S	170	0.00650	154	0.00510	0	0.00000	0	0.00000	254	0.00787	217	0.00672	715	0.02663	603	0.01851	206	0.00598	202	0.00591	0	0.00000	0	0.00000	375	0.01218	544	0.01763	131	0.00388	142	0.00444	0	0.00000	139	0.00344	1921	0.06697	1904	0.06290	357	0.01088	274	0.00719	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Propionibacterium acnes	2556	S	148	0.00566	94	0.00311	0	0.00000	0	0.00000	175	0.00542	104	0.00322	286	0.01065	296	0.00909	94	0.00273	122	0.00357	162	0.00554	0	0.00000	0	0.00000	0	0.00000	133	0.00394	97	0.00303	0	0.00000	96	0.00238	280	0.00976	250	0.00826	73	0.00222	116	0.00304	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Collinsella aerofaciens	2587	S	1045	0.03993	1145	0.03793	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1161	0.04047	1151	0.03803	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Collinsella stercoris	2588	S	199	0.00760	236	0.00782	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	129	0.00426	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Prevotella melaninogenica	2606	S	0	0.00000	118	0.00391	113	0.00483	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	961	0.03284	0	0.00000	220	0.00715	144	0.00467	0	0.00000	0	0.00000	166	0.00548	234	0.00579	0	0.00000	0	0.00000	0	0.00000	0	0.00000	182	0.00683	165	0.00559	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Anoxybacillus kestanbolensis	2655	S	0	0.00000	152	0.00504	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	155	0.00503	199	0.00645	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Streptomyces mirabilis	2569	S	0	0.00000	212	0.00702	0	0.00000	0	0.00000	305	0.00945	187	0.00579	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Prevotella copri	2604	S	0	0.00000	0	0.00000	37	0.00158	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	60	0.00195	0	0.00000	0	0.00000	0	0.00000	5532	0.18250	4811	0.11905	0	0.00000	0	0.00000	0	0.00000	0	0.00000	68	0.00255	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Clostridium neonatale	2768	S	0	0.00000	0	0.00000	1112	0.04756	770	0.04603	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	2017	0.06552	3478	0.11274	9109	0.26981	6673	0.20860	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
[Ruminococcus] gnavus	2783	S	0	0.00000	0	0.00000	1330	0.05688	510	0.03049	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	437	0.01419	361	0.01170	1613	0.04778	942	0.02945	1131	0.03731	1413	0.03496	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	241	0.00817	828	0.03423	1113	0.05002	0	0.00000	0	0.00000	1605	0.04112	1188	0.03623
